,path,cat/dog,breed,dataset,train/test
0,images\Bombay_191.jpg,cat,8,oxford,test
1,images\Bombay_46.jpg,cat,8,oxford,test
2,images\Bombay_88.jpg,cat,8,oxford,test
3,images\Bombay_213.jpg,cat,8,oxford,test
4,images\Bombay_118.jpg,cat,8,oxford,test
5,images\Bombay_157.jpg,cat,8,oxford,test
6,images\Bombay_139.jpg,cat,8,oxford,test
7,images\Bombay_71.jpg,cat,8,oxford,test
8,images\Bombay_23.jpg,cat,8,oxford,test
9,images\Bombay_178.jpg,cat,8,oxford,test
10,images\Bombay_73.jpg,cat,8,oxford,test
11,images\Bombay_45.jpg,cat,8,oxford,test
12,images\Bombay_132.jpg,cat,8,oxford,test
13,images\Bombay_77.jpg,cat,8,oxford,test
14,images\Bombay_122.jpg,cat,8,oxford,test
15,images\Bombay_193.jpg,cat,8,oxford,test
16,images\Bombay_43.jpg,cat,8,oxford,test
17,images\Bombay_143.jpg,cat,8,oxford,test
18,images\Bombay_153.jpg,cat,8,oxford,test
19,images\Bombay_146.jpg,cat,8,oxford,test
20,images\Bombay_156.jpg,cat,8,oxford,test
21,images\Bombay_53.jpg,cat,8,oxford,test
22,images\Bombay_152.jpg,cat,8,oxford,test
23,images\Bombay_150.jpg,cat,8,oxford,test
24,images\Bombay_201.jpg,cat,8,oxford,test
25,images\Bombay_172.jpg,cat,8,oxford,test
26,images\Bombay_184.jpg,cat,8,oxford,test
27,images\Bombay_105.jpg,cat,8,oxford,test
28,images\Bombay_214.jpg,cat,8,oxford,test
29,images\Bombay_108.jpg,cat,8,oxford,test
30,images\Bombay_66.jpg,cat,8,oxford,test
31,images\Bombay_115.jpg,cat,8,oxford,test
32,images\Bombay_126.jpg,cat,8,oxford,test
33,images\Bombay_54.jpg,cat,8,oxford,test
34,images\Bombay_112.jpg,cat,8,oxford,test
35,images\Bombay_111.jpg,cat,8,oxford,test
36,images\Bombay_47.jpg,cat,8,oxford,train
37,images\Bombay_131.jpg,cat,8,oxford,train
38,images\Bombay_87.jpg,cat,8,oxford,train
39,images\Bombay_68.jpg,cat,8,oxford,train
40,images\Bombay_164.jpg,cat,8,oxford,train
41,images\Bombay_202.jpg,cat,8,oxford,train
42,images\Bombay_25.jpg,cat,8,oxford,train
43,images\Bombay_24.jpg,cat,8,oxford,train
44,images\Bombay_154.jpg,cat,8,oxford,train
45,images\Bombay_9.jpg,cat,8,oxford,train
