,path,cat/dog,breed,dataset,train/test
0,VOCdevkit/VOC2012/JPEGImages/2009_000284.jpg,cat,,voc,test
1,images/Persian_160.jpg,cat,24,oxford,test
2,images/Ragdoll_190.jpg,cat,27,oxford,test
3,images/Abyssinian_101.jpg,cat,1,oxford,test
4,VOCdevkit/VOC2012/JPEGImages/2010_004415.jpg,cat,,voc,test
5,images/Maine_Coon_92.jpg,cat,21,oxford,test
6,images/Egyptian_Mau_15.jpg,cat,12,oxford,test
7,images/Maine_Coon_18.jpg,cat,21,oxford,test
8,VOCdevkit/VOC2012/JPEGImages/2010_003427.jpg,cat,,voc,test
9,images/Siamese_27.jpg,cat,33,oxford,test
10,images/Ragdoll_57.jpg,cat,27,oxford,test
11,VOCdevkit/VOC2012/JPEGImages/2011_000108.jpg,cat,,voc,test
12,images/Russian_Blue_168.jpg,cat,28,oxford,test
13,images/Russian_Blue_183.jpg,cat,28,oxford,test
14,images/Russian_Blue_41.jpg,cat,28,oxford,test
15,images/Persian_176.jpg,cat,24,oxford,test
16,VOCdevkit/VOC2012/JPEGImages/2010_004120.jpg,cat,,voc,test
17,images/Russian_Blue_20.jpg,cat,28,oxford,test
18,images/Bengal_70.jpg,cat,6,oxford,test
19,VOCdevkit/VOC2012/JPEGImages/2008_003239.jpg,cat,,voc,test
20,VOCdevkit/VOC2012/JPEGImages/2010_004365.jpg,cat,,voc,test
21,images/Persian_159.jpg,cat,24,oxford,test
22,images/Sphynx_133.jpg,cat,34,oxford,test
23,images/Egyptian_Mau_112.jpg,cat,12,oxford,test
24,images/British_Shorthair_271.jpg,cat,10,oxford,test
25,VOCdevkit/VOC2012/JPEGImages/2010_005072.jpg,cat,,voc,test
26,images/Abyssinian_112.jpg,cat,1,oxford,test
27,images/Sphynx_191.jpg,cat,34,oxford,test
28,VOCdevkit/VOC2012/JPEGImages/2010_002192.jpg,cat,,voc,test
29,VOCdevkit/VOC2012/JPEGImages/2010_004402.jpg,cat,,voc,test
30,images/Siamese_173.jpg,cat,33,oxford,test
31,VOCdevkit/VOC2012/JPEGImages/2011_002883.jpg,cat,,voc,test
32,VOCdevkit/VOC2012/JPEGImages/2009_004655.jpg,cat,,voc,test
33,VOCdevkit/VOC2012/JPEGImages/2010_006078.jpg,cat,,voc,test
34,images/Bengal_175.jpg,cat,6,oxford,test
35,VOCdevkit/VOC2012/JPEGImages/2010_005697.jpg,cat,,voc,test
36,VOCdevkit/VOC2012/JPEGImages/2008_004462.jpg,cat,,voc,test
37,images/Abyssinian_160.jpg,cat,1,oxford,test
38,images/Egyptian_Mau_198.jpg,cat,12,oxford,test
39,VOCdevkit/VOC2012/JPEGImages/2010_004320.jpg,cat,,voc,test
40,images/Persian_45.jpg,cat,24,oxford,test
41,VOCdevkit/VOC2012/JPEGImages/2009_000915.jpg,cat,,voc,test
42,images/British_Shorthair_181.jpg,cat,10,oxford,test
43,images/Sphynx_5.jpg,cat,34,oxford,test
44,VOCdevkit/VOC2012/JPEGImages/2008_001414.jpg,cat,,voc,test
45,images/Persian_128.jpg,cat,24,oxford,test
46,VOCdevkit/VOC2012/JPEGImages/2008_006285.jpg,cat,,voc,test
47,images/Egyptian_Mau_182.jpg,cat,12,oxford,test
48,images/Maine_Coon_137.jpg,cat,21,oxford,test
49,images/British_Shorthair_204.jpg,cat,10,oxford,test
50,images/British_Shorthair_85.jpg,cat,10,oxford,test
51,images/Birman_148.jpg,cat,7,oxford,test
52,images/Siamese_97.jpg,cat,33,oxford,test
53,VOCdevkit/VOC2012/JPEGImages/2010_001842.jpg,cat,,voc,test
54,images/Russian_Blue_40.jpg,cat,28,oxford,test
55,VOCdevkit/VOC2012/JPEGImages/2009_004504.jpg,cat,,voc,test
56,images/Russian_Blue_51.jpg,cat,28,oxford,test
57,images/Abyssinian_51.jpg,cat,1,oxford,test
58,images/British_Shorthair_140.jpg,cat,10,oxford,test
59,VOCdevkit/VOC2012/JPEGImages/2010_005906.jpg,cat,,voc,test
60,images/Siamese_188.jpg,cat,33,oxford,test
61,images/Abyssinian_47.jpg,cat,1,oxford,test
62,images/Russian_Blue_174.jpg,cat,28,oxford,test
63,images/Abyssinian_33.jpg,cat,1,oxford,test
64,images/Ragdoll_191.jpg,cat,27,oxford,test
65,images/Birman_2.jpg,cat,7,oxford,test
66,images/British_Shorthair_172.jpg,cat,10,oxford,test
67,VOCdevkit/VOC2012/JPEGImages/2010_005456.jpg,cat,,voc,test
68,images/Birman_181.jpg,cat,7,oxford,test
69,images/Abyssinian_166.jpg,cat,1,oxford,test
70,images/Persian_31.jpg,cat,24,oxford,test
71,images/Ragdoll_258.jpg,cat,27,oxford,test
72,images/Egyptian_Mau_62.jpg,cat,12,oxford,test
73,images/Sphynx_46.jpg,cat,34,oxford,test
74,VOCdevkit/VOC2012/JPEGImages/2010_001351.jpg,cat,,voc,test
75,images/Birman_121.jpg,cat,7,oxford,test
76,VOCdevkit/VOC2012/JPEGImages/2008_006325.jpg,cat,,voc,test
77,VOCdevkit/VOC2012/JPEGImages/2010_000616.jpg,cat,,voc,test
78,images/Bengal_107.jpg,cat,6,oxford,test
79,images/Ragdoll_76.jpg,cat,27,oxford,test
80,images/Bombay_160.jpg,cat,8,oxford,test
81,VOCdevkit/VOC2012/JPEGImages/2010_001465.jpg,cat,,voc,test
82,images/Abyssinian_115.jpg,cat,1,oxford,test
83,images/Bengal_157.jpg,cat,6,oxford,test
84,images/Ragdoll_81.jpg,cat,27,oxford,test
85,images/Sphynx_8.jpg,cat,34,oxford,test
86,images/Bengal_18.jpg,cat,6,oxford,test
87,VOCdevkit/VOC2012/JPEGImages/2008_005270.jpg,cat,,voc,test
88,VOCdevkit/VOC2012/JPEGImages/2010_000974.jpg,cat,,voc,test
89,VOCdevkit/VOC2012/JPEGImages/2008_005193.jpg,cat,,voc,test
90,VOCdevkit/VOC2012/JPEGImages/2008_007106.jpg,cat,,voc,test
91,images/Bombay_132.jpg,cat,8,oxford,test
92,VOCdevkit/VOC2012/JPEGImages/2008_006785.jpg,cat,,voc,test
93,images/Siamese_33.jpg,cat,33,oxford,test
94,images/Bengal_111.jpg,cat,6,oxford,test
95,images/Sphynx_93.jpg,cat,34,oxford,test
96,images/British_Shorthair_79.jpg,cat,10,oxford,test
97,VOCdevkit/VOC2012/JPEGImages/2010_002976.jpg,cat,,voc,test
98,images/Bombay_171.jpg,cat,8,oxford,test
99,images/Birman_45.jpg,cat,7,oxford,test
100,images/Sphynx_34.jpg,cat,34,oxford,test
101,VOCdevkit/VOC2012/JPEGImages/2008_001078.jpg,cat,,voc,test
102,VOCdevkit/VOC2012/JPEGImages/2009_001411.jpg,cat,,voc,test
103,images/Sphynx_232.jpg,cat,34,oxford,test
104,images/Abyssinian_158.jpg,cat,1,oxford,test
105,VOCdevkit/VOC2012/JPEGImages/2009_004529.jpg,cat,,voc,test
106,images/Bombay_180.jpg,cat,8,oxford,test
107,images/Bombay_119.jpg,cat,8,oxford,test
108,VOCdevkit/VOC2012/JPEGImages/2010_001555.jpg,cat,,voc,test
109,images/British_Shorthair_120.jpg,cat,10,oxford,test
110,VOCdevkit/VOC2012/JPEGImages/2010_004768.jpg,cat,,voc,test
111,images/Abyssinian_127.jpg,cat,1,oxford,test
112,VOCdevkit/VOC2012/JPEGImages/2011_000596.jpg,cat,,voc,test
113,images/Persian_101.jpg,cat,24,oxford,test
114,images/Siamese_72.jpg,cat,33,oxford,test
115,VOCdevkit/VOC2012/JPEGImages/2008_002201.jpg,cat,,voc,test
116,images/Siamese_49.jpg,cat,33,oxford,test
117,images/Maine_Coon_184.jpg,cat,21,oxford,test
118,images/Sphynx_130.jpg,cat,34,oxford,test
119,VOCdevkit/VOC2012/JPEGImages/2010_000675.jpg,cat,,voc,test
120,images/Maine_Coon_186.jpg,cat,21,oxford,test
121,images/Siamese_89.jpg,cat,33,oxford,test
122,images/Bengal_112.jpg,cat,6,oxford,test
123,images/Bengal_104.jpg,cat,6,oxford,test
124,images/Maine_Coon_132.jpg,cat,21,oxford,test
125,VOCdevkit/VOC2012/JPEGImages/2008_002793.jpg,cat,,voc,test
126,VOCdevkit/VOC2012/JPEGImages/2008_004232.jpg,cat,,voc,test
127,VOCdevkit/VOC2012/JPEGImages/2010_002118.jpg,cat,,voc,test
128,images/Bombay_71.jpg,cat,8,oxford,test
129,images/Sphynx_105.jpg,cat,34,oxford,test
130,VOCdevkit/VOC2012/JPEGImages/2011_001534.jpg,cat,,voc,test
131,VOCdevkit/VOC2012/JPEGImages/2009_003697.jpg,cat,,voc,test
132,VOCdevkit/VOC2012/JPEGImages/2008_000181.jpg,cat,,voc,test
133,images/Birman_28.jpg,cat,7,oxford,test
134,VOCdevkit/VOC2012/JPEGImages/2008_004074.jpg,cat,,voc,test
135,VOCdevkit/VOC2012/JPEGImages/2010_003551.jpg,cat,,voc,test
136,VOCdevkit/VOC2012/JPEGImages/2009_000599.jpg,cat,,voc,test
137,images/Bombay_208.jpg,cat,8,oxford,test
138,images/Sphynx_116.jpg,cat,34,oxford,test
139,VOCdevkit/VOC2012/JPEGImages/2008_004538.jpg,cat,,voc,test
140,VOCdevkit/VOC2012/JPEGImages/2010_001103.jpg,cat,,voc,test
141,images/Bengal_36.jpg,cat,6,oxford,test
142,images/Ragdoll_114.jpg,cat,27,oxford,test
143,images/Maine_Coon_56.jpg,cat,21,oxford,test
144,images/Bombay_27.jpg,cat,8,oxford,test
145,images/Bombay_39.jpg,cat,8,oxford,test
146,images/Persian_97.jpg,cat,24,oxford,test
147,VOCdevkit/VOC2012/JPEGImages/2010_001177.jpg,cat,,voc,test
148,images/Birman_62.jpg,cat,7,oxford,test
149,images/British_Shorthair_156.jpg,cat,10,oxford,test
150,VOCdevkit/VOC2012/JPEGImages/2009_000150.jpg,cat,,voc,test
151,VOCdevkit/VOC2012/JPEGImages/2010_003527.jpg,cat,,voc,test
152,images/Russian_Blue_204.jpg,cat,28,oxford,test
153,images/Bombay_83.jpg,cat,8,oxford,test
154,VOCdevkit/VOC2012/JPEGImages/2008_007964.jpg,cat,,voc,test
155,images/Ragdoll_8.jpg,cat,27,oxford,test
156,VOCdevkit/VOC2012/JPEGImages/2008_007548.jpg,cat,,voc,test
157,images/Birman_29.jpg,cat,7,oxford,test
158,images/Ragdoll_80.jpg,cat,27,oxford,test
159,images/Sphynx_33.jpg,cat,34,oxford,test
160,images/Bombay_29.jpg,cat,8,oxford,test
161,VOCdevkit/VOC2012/JPEGImages/2008_006329.jpg,cat,,voc,test
162,images/British_Shorthair_84.jpg,cat,10,oxford,test
163,images/Maine_Coon_241.jpg,cat,21,oxford,test
164,images/British_Shorthair_108.jpg,cat,10,oxford,test
165,VOCdevkit/VOC2012/JPEGImages/2009_000330.jpg,cat,,voc,test
166,VOCdevkit/VOC2012/JPEGImages/2008_007260.jpg,cat,,voc,test
167,images/Birman_174.jpg,cat,7,oxford,test
168,VOCdevkit/VOC2012/JPEGImages/2010_002778.jpg,cat,,voc,test
169,images/Egyptian_Mau_164.jpg,cat,12,oxford,test
170,images/Sphynx_199.jpg,cat,34,oxford,test
171,VOCdevkit/VOC2012/JPEGImages/2010_003696.jpg,cat,,voc,test
172,VOCdevkit/VOC2012/JPEGImages/2009_004358.jpg,cat,,voc,test
173,images/Birman_108.jpg,cat,7,oxford,test
174,images/Birman_154.jpg,cat,7,oxford,test
175,images/Siamese_193.jpg,cat,33,oxford,test
176,VOCdevkit/VOC2012/JPEGImages/2009_000902.jpg,cat,,voc,test
177,VOCdevkit/VOC2012/JPEGImages/2010_002831.jpg,cat,,voc,test
178,images/Maine_Coon_149.jpg,cat,21,oxford,test
179,images/Bengal_65.jpg,cat,6,oxford,test
180,VOCdevkit/VOC2012/JPEGImages/2010_000067.jpg,cat,,voc,test
181,images/Bombay_20.jpg,cat,8,oxford,test
182,images/Sphynx_178.jpg,cat,34,oxford,test
183,images/Abyssinian_16.jpg,cat,1,oxford,test
184,images/Birman_183.jpg,cat,7,oxford,test
185,VOCdevkit/VOC2012/JPEGImages/2010_000872.jpg,cat,,voc,test
186,VOCdevkit/VOC2012/JPEGImages/2008_006656.jpg,cat,,voc,test
187,images/Abyssinian_102.jpg,cat,1,oxford,test
188,images/Persian_133.jpg,cat,24,oxford,test
189,images/Maine_Coon_164.jpg,cat,21,oxford,test
190,images/Ragdoll_27.jpg,cat,27,oxford,test
191,images/British_Shorthair_101.jpg,cat,10,oxford,test
192,images/Persian_75.jpg,cat,24,oxford,test
193,images/Ragdoll_261.jpg,cat,27,oxford,test
194,VOCdevkit/VOC2012/JPEGImages/2008_007039.jpg,cat,,voc,test
195,VOCdevkit/VOC2012/JPEGImages/2010_005222.jpg,cat,,voc,test
196,VOCdevkit/VOC2012/JPEGImages/2010_003974.jpg,cat,,voc,test
197,images/Maine_Coon_52.jpg,cat,21,oxford,test
198,images/Siamese_209.jpg,cat,33,oxford,test
199,images/Abyssinian_175.jpg,cat,1,oxford,test
200,images/Abyssinian_49.jpg,cat,1,oxford,test
201,images/Egyptian_Mau_132.jpg,cat,12,oxford,test
202,images/Ragdoll_86.jpg,cat,27,oxford,test
203,VOCdevkit/VOC2012/JPEGImages/2010_004712.jpg,cat,,voc,test
204,VOCdevkit/VOC2012/JPEGImages/2010_001195.jpg,cat,,voc,test
205,images/Siamese_63.jpg,cat,33,oxford,test
206,images/Abyssinian_226.jpg,cat,1,oxford,test
207,images/Bengal_81.jpg,cat,6,oxford,test
208,VOCdevkit/VOC2012/JPEGImages/2010_001215.jpg,cat,,voc,test
209,images/Sphynx_30.jpg,cat,34,oxford,test
210,images/Birman_47.jpg,cat,7,oxford,test
211,images/Ragdoll_4.jpg,cat,27,oxford,test
212,VOCdevkit/VOC2012/JPEGImages/2010_002713.jpg,cat,,voc,test
213,VOCdevkit/VOC2012/JPEGImages/2009_003528.jpg,cat,,voc,test
214,images/British_Shorthair_67.jpg,cat,10,oxford,test
215,VOCdevkit/VOC2012/JPEGImages/2010_004963.jpg,cat,,voc,test
216,VOCdevkit/VOC2012/JPEGImages/2008_007289.jpg,cat,,voc,test
217,VOCdevkit/VOC2012/JPEGImages/2010_000317.jpg,cat,,voc,test
218,images/Siamese_53.jpg,cat,33,oxford,test
219,images/Birman_61.jpg,cat,7,oxford,test
220,VOCdevkit/VOC2012/JPEGImages/2010_000054.jpg,cat,,voc,test
221,images/Sphynx_78.jpg,cat,34,oxford,test
222,images/Persian_201.jpg,cat,24,oxford,test
223,VOCdevkit/VOC2012/JPEGImages/2009_005211.jpg,cat,,voc,test
224,images/Sphynx_193.jpg,cat,34,oxford,test
225,VOCdevkit/VOC2012/JPEGImages/2009_004210.jpg,cat,,voc,test
226,VOCdevkit/VOC2012/JPEGImages/2010_005535.jpg,cat,,voc,test
227,images/Siamese_87.jpg,cat,33,oxford,test
228,images/Bengal_144.jpg,cat,6,oxford,test
229,images/Egyptian_Mau_43.jpg,cat,12,oxford,test
230,VOCdevkit/VOC2012/JPEGImages/2010_000948.jpg,cat,,voc,test
231,images/Siamese_24.jpg,cat,33,oxford,test
232,images/Russian_Blue_32.jpg,cat,28,oxford,test
233,VOCdevkit/VOC2012/JPEGImages/2009_003415.jpg,cat,,voc,test
234,images/Bengal_146.jpg,cat,6,oxford,test
235,VOCdevkit/VOC2012/JPEGImages/2008_006561.jpg,cat,,voc,test
236,images/Maine_Coon_105.jpg,cat,21,oxford,test
237,VOCdevkit/VOC2012/JPEGImages/2010_005935.jpg,cat,,voc,test
238,images/Maine_Coon_55.jpg,cat,21,oxford,test
239,VOCdevkit/VOC2012/JPEGImages/2010_000404.jpg,cat,,voc,test
240,images/Ragdoll_125.jpg,cat,27,oxford,test
241,images/Sphynx_132.jpg,cat,34,oxford,test
242,images/Ragdoll_262.jpg,cat,27,oxford,test
243,images/Abyssinian_30.jpg,cat,1,oxford,test
244,images/Siamese_55.jpg,cat,33,oxford,test
245,images/Bengal_191.jpg,cat,6,oxford,test
246,VOCdevkit/VOC2012/JPEGImages/2011_000426.jpg,cat,,voc,test
247,images/Abyssinian_146.jpg,cat,1,oxford,test
248,images/Siamese_94.jpg,cat,33,oxford,test
249,images/British_Shorthair_241.jpg,cat,10,oxford,test
250,VOCdevkit/VOC2012/JPEGImages/2008_007269.jpg,cat,,voc,test
251,VOCdevkit/VOC2012/JPEGImages/2009_004382.jpg,cat,,voc,test
252,images/Bengal_48.jpg,cat,6,oxford,test
253,images/Russian_Blue_92.jpg,cat,28,oxford,test
254,VOCdevkit/VOC2012/JPEGImages/2010_001012.jpg,cat,,voc,test
255,images/Sphynx_198.jpg,cat,34,oxford,test
256,VOCdevkit/VOC2012/JPEGImages/2010_000458.jpg,cat,,voc,test
257,images/Ragdoll_26.jpg,cat,27,oxford,test
258,VOCdevkit/VOC2012/JPEGImages/2010_002531.jpg,cat,,voc,test
259,images/Birman_112.jpg,cat,7,oxford,test
260,images/Bengal_40.jpg,cat,6,oxford,test
261,VOCdevkit/VOC2012/JPEGImages/2010_005805.jpg,cat,,voc,test
262,images/Bengal_34.jpg,cat,6,oxford,test
263,VOCdevkit/VOC2012/JPEGImages/2010_003358.jpg,cat,,voc,test
264,images/Bombay_163.jpg,cat,8,oxford,test
265,images/Siamese_231.jpg,cat,33,oxford,test
266,images/Persian_239.jpg,cat,24,oxford,test
267,images/British_Shorthair_148.jpg,cat,10,oxford,test
268,VOCdevkit/VOC2012/JPEGImages/2009_004434.jpg,cat,,voc,test
269,images/Sphynx_67.jpg,cat,34,oxford,test
270,images/Sphynx_125.jpg,cat,34,oxford,test
271,images/Egyptian_Mau_163.jpg,cat,12,oxford,test
272,VOCdevkit/VOC2012/JPEGImages/2008_000581.jpg,cat,,voc,test
273,VOCdevkit/VOC2012/JPEGImages/2008_006050.jpg,cat,,voc,test
274,VOCdevkit/VOC2012/JPEGImages/2010_000519.jpg,cat,,voc,test
275,images/Bengal_51.jpg,cat,6,oxford,test
276,images/British_Shorthair_119.jpg,cat,10,oxford,test
277,images/Birman_33.jpg,cat,7,oxford,test
278,images/Persian_195.jpg,cat,24,oxford,test
279,images/Maine_Coon_78.jpg,cat,21,oxford,test
280,VOCdevkit/VOC2012/JPEGImages/2008_006347.jpg,cat,,voc,test
281,images/Persian_81.jpg,cat,24,oxford,test
282,images/Bombay_38.jpg,cat,8,oxford,test
283,VOCdevkit/VOC2012/JPEGImages/2011_001292.jpg,cat,,voc,test
284,VOCdevkit/VOC2012/JPEGImages/2009_000511.jpg,cat,,voc,test
285,images/Persian_46.jpg,cat,24,oxford,test
286,images/Maine_Coon_162.jpg,cat,21,oxford,test
287,images/Birman_125.jpg,cat,7,oxford,test
288,images/Sphynx_204.jpg,cat,34,oxford,test
289,VOCdevkit/VOC2012/JPEGImages/2010_001054.jpg,cat,,voc,test
290,VOCdevkit/VOC2012/JPEGImages/2009_000566.jpg,cat,,voc,test
291,images/Abyssinian_7.jpg,cat,1,oxford,test
292,images/Bengal_131.jpg,cat,6,oxford,test
293,images/Birman_73.jpg,cat,7,oxford,test
294,images/Bengal_43.jpg,cat,6,oxford,test
295,VOCdevkit/VOC2012/JPEGImages/2010_003468.jpg,cat,,voc,test
296,images/Persian_49.jpg,cat,24,oxford,test
297,images/Sphynx_14.jpg,cat,34,oxford,test
298,images/Bengal_20.jpg,cat,6,oxford,test
299,images/Russian_Blue_166.jpg,cat,28,oxford,test
300,images/British_Shorthair_141.jpg,cat,10,oxford,test
301,VOCdevkit/VOC2012/JPEGImages/2011_000229.jpg,cat,,voc,test
302,VOCdevkit/VOC2012/JPEGImages/2008_000222.jpg,cat,,voc,test
303,VOCdevkit/VOC2012/JPEGImages/2010_000506.jpg,cat,,voc,test
304,images/Siamese_95.jpg,cat,33,oxford,test
305,VOCdevkit/VOC2012/JPEGImages/2009_001562.jpg,cat,,voc,test
306,images/Ragdoll_68.jpg,cat,27,oxford,test
307,images/Persian_11.jpg,cat,24,oxford,test
308,images/Bengal_4.jpg,cat,6,oxford,test
309,images/Russian_Blue_150.jpg,cat,28,oxford,test
310,images/Siamese_119.jpg,cat,33,oxford,test
311,VOCdevkit/VOC2012/JPEGImages/2010_001331.jpg,cat,,voc,test
312,images/Abyssinian_207.jpg,cat,1,oxford,test
313,images/Siamese_81.jpg,cat,33,oxford,test
314,VOCdevkit/VOC2012/JPEGImages/2008_001335.jpg,cat,,voc,test
315,images/British_Shorthair_248.jpg,cat,10,oxford,test
316,VOCdevkit/VOC2012/JPEGImages/2009_004971.jpg,cat,,voc,test
317,VOCdevkit/VOC2012/JPEGImages/2010_005712.jpg,cat,,voc,test
318,images/Ragdoll_146.jpg,cat,27,oxford,test
319,images/Bombay_80.jpg,cat,8,oxford,test
320,images/British_Shorthair_44.jpg,cat,10,oxford,test
321,images/Bombay_159.jpg,cat,8,oxford,test
322,images/Russian_Blue_143.jpg,cat,28,oxford,test
323,images/British_Shorthair_56.jpg,cat,10,oxford,test
324,VOCdevkit/VOC2012/JPEGImages/2010_000683.jpg,cat,,voc,test
325,images/Egyptian_Mau_98.jpg,cat,12,oxford,test
326,images/Russian_Blue_216.jpg,cat,28,oxford,test
327,images/Persian_138.jpg,cat,24,oxford,test
328,images/Bengal_75.jpg,cat,6,oxford,test
329,images/Bombay_16.jpg,cat,8,oxford,test
330,images/Persian_105.jpg,cat,24,oxford,test
331,images/Ragdoll_63.jpg,cat,27,oxford,test
332,VOCdevkit/VOC2012/JPEGImages/2010_005257.jpg,cat,,voc,test
333,VOCdevkit/VOC2012/JPEGImages/2011_001173.jpg,cat,,voc,test
334,VOCdevkit/VOC2012/JPEGImages/2010_000409.jpg,cat,,voc,test
335,VOCdevkit/VOC2012/JPEGImages/2008_007496.jpg,cat,,voc,test
336,VOCdevkit/VOC2012/JPEGImages/2010_005006.jpg,cat,,voc,test
337,images/Maine_Coon_169.jpg,cat,21,oxford,test
338,images/British_Shorthair_22.jpg,cat,10,oxford,test
339,images/Siamese_34.jpg,cat,33,oxford,test
340,VOCdevkit/VOC2012/JPEGImages/2010_004037.jpg,cat,,voc,test
341,images/Maine_Coon_245.jpg,cat,21,oxford,test
342,images/Bengal_44.jpg,cat,6,oxford,test
343,images/Maine_Coon_155.jpg,cat,21,oxford,test
344,VOCdevkit/VOC2012/JPEGImages/2008_002872.jpg,cat,,voc,test
345,VOCdevkit/VOC2012/JPEGImages/2010_005143.jpg,cat,,voc,test
346,images/Maine_Coon_128.jpg,cat,21,oxford,test
347,VOCdevkit/VOC2012/JPEGImages/2010_001057.jpg,cat,,voc,test
348,VOCdevkit/VOC2012/JPEGImages/2010_002348.jpg,cat,,voc,test
349,images/Ragdoll_111.jpg,cat,27,oxford,test
350,images/Russian_Blue_61.jpg,cat,28,oxford,test
351,images/Siamese_37.jpg,cat,33,oxford,test
352,images/Abyssinian_36.jpg,cat,1,oxford,test
353,images/Siamese_257.jpg,cat,33,oxford,test
354,images/Siamese_139.jpg,cat,33,oxford,test
355,images/Persian_179.jpg,cat,24,oxford,test
356,images/Ragdoll_131.jpg,cat,27,oxford,test
357,VOCdevkit/VOC2012/JPEGImages/2011_000769.jpg,cat,,voc,test
358,VOCdevkit/VOC2012/JPEGImages/2008_003303.jpg,cat,,voc,test
359,images/Egyptian_Mau_23.jpg,cat,12,oxford,test
360,VOCdevkit/VOC2012/JPEGImages/2008_007216.jpg,cat,,voc,test
361,images/Bengal_194.jpg,cat,6,oxford,test
362,images/Egyptian_Mau_52.jpg,cat,12,oxford,test
363,images/Egyptian_Mau_91.jpg,cat,12,oxford,test
364,images/Sphynx_136.jpg,cat,34,oxford,test
365,VOCdevkit/VOC2012/JPEGImages/2010_005108.jpg,cat,,voc,test
366,VOCdevkit/VOC2012/JPEGImages/2009_003660.jpg,cat,,voc,test
367,VOCdevkit/VOC2012/JPEGImages/2010_005048.jpg,cat,,voc,test
368,images/Sphynx_99.jpg,cat,34,oxford,test
369,images/Maine_Coon_34.jpg,cat,21,oxford,test
370,images/Persian_258.jpg,cat,24,oxford,test
371,images/Abyssinian_4.jpg,cat,1,oxford,test
372,images/Abyssinian_197.jpg,cat,1,oxford,test
373,images/Abyssinian_8.jpg,cat,1,oxford,test
374,images/British_Shorthair_8.jpg,cat,10,oxford,test
375,images/Bombay_214.jpg,cat,8,oxford,test
376,images/Russian_Blue_112.jpg,cat,28,oxford,test
377,VOCdevkit/VOC2012/JPEGImages/2008_000670.jpg,cat,,voc,test
378,VOCdevkit/VOC2012/JPEGImages/2008_007913.jpg,cat,,voc,test
379,images/Abyssinian_119.jpg,cat,1,oxford,test
380,images/Birman_133.jpg,cat,7,oxford,test
381,VOCdevkit/VOC2012/JPEGImages/2010_001938.jpg,cat,,voc,test
382,images/British_Shorthair_71.jpg,cat,10,oxford,test
383,VOCdevkit/VOC2012/JPEGImages/2008_003420.jpg,cat,,voc,test
384,VOCdevkit/VOC2012/JPEGImages/2010_002448.jpg,cat,,voc,test
385,VOCdevkit/VOC2012/JPEGImages/2010_000439.jpg,cat,,voc,test
386,images/Sphynx_242.jpg,cat,34,oxford,test
387,VOCdevkit/VOC2012/JPEGImages/2009_004157.jpg,cat,,voc,test
388,images/Bengal_183.jpg,cat,6,oxford,test
389,images/Russian_Blue_178.jpg,cat,28,oxford,test
390,VOCdevkit/VOC2012/JPEGImages/2010_002965.jpg,cat,,voc,test
391,images/Sphynx_187.jpg,cat,34,oxford,test
392,images/Siamese_122.jpg,cat,33,oxford,test
393,VOCdevkit/VOC2012/JPEGImages/2010_001030.jpg,cat,,voc,test
